survived,pclass,sex,age,sibsp,parch,fare,embarked,ticket_length,name_length
0,3,male,22.0,1,0,7.25,S,6,23
1,1,female,38.0,1,0,71.2833,C,6,51
1,3,female,26.0,0,0,7.925,S,6,22
1,1,female,35.0,1,0,53.1,S,5,44
0,3,male,35.0,0,0,8.05,S,6,24
0,3,male,,0,0,8.4583,Q,8,23
0,1,male,54.0,0,0,51.8625,S,6,36
0,3,male,2.0,3,1,21.075,S,6,24
1,3,female,27.0,0,2,11.1333,S,7,28
1,2,female,14.0,1,0,30.0708,C,7,30
1,3,female,4.0,1,1,16.7,S,7,28
1,1,female,58.0,0,0,26.55,S,5,33
0,3,male,20.0,0,0,8.05,S,6,30
0,3,male,39.0,1,5,31.275,S,7,29
0,3,female,14.0,0,0,7.8542,S,8,32
1,2,female,55.0,0,0,16.0,S,6,28
0,3,male,2.0,4,1,29.125,Q,6,33
1,2,male,,0,0,13.0,S,6,26
0,3,female,31.0,1,0,18.0,S,6,33
1,3,female,,0,0,7.225,C,7,26
0,2,male,35.0,0,0,26.0,S,6,30
1,2,male,34.0,0,0,13.0,S,6,27
1,3,female,15.0,0,0,8.0292,Q,6,24
1,1,male,28.0,0,0,35.5,S,4,30
0,3,female,8.0,3,1,21.075,S,6,29
1,3,female,38.0,1,5,31.3875,S,8,28
0,3,male,,0,0,7.225,C,7,24
0,1,male,19.0,3,2,263.0,S,7,42
1,3,female,,0,0,7.8792,Q,8,28
0,3,male,,0,0,7.8958,S,6,25
0,1,male,40.0,0,0,27.7208,C,7,31
1,1,female,,1,0,146.5208,C,7,38
1,3,female,,0,0,7.75,Q,5,22
0,2,male,66.0,0,0,10.5,S,6,32
0,2,male,28.0,1,0,16.1,S,6,30
1,1,female,42.0,1,0,52.5542,S,5,38
1,3,male,,0,0,7.2292,C,7,25
0,3,male,21.0,0,0,8.05,S,6,29
0,3,male,18.0,2,0,18.0,S,6,24
1,3,female,14.0,1,0,11.2417,C,7,30
0,3,male,40.0,1,0,15.7417,C,7,29
1,2,female,27.0,1,0,21.0,S,6,30
0,3,male,0.83,0,2,29.125,Q,6,26
1,3,female,,0,0,7.8792,Q,8,25
1,3,female,20.0,0,0,9.825,S,6,28
0,3,male,14.0,5,2,46.9,S,6,30
0,3,male,39.0,0,0,8.05,S,6,26
1,3,female,26.0,0,0,9.5,S,5,25
1,3,female,,1,1,14.5,S,6,31
0,3,male,,0,0,7.75,Q,5,24
0,3,male,32.0,1,0,15.85,S,7,27
0,3,female,20.0,0,0,9.5,S,5,26
0,3,male,29.0,0,0,7.925,S,6,28
1,1,female,19.0,0,0,30.0,S,5,36
0,1,male,,1,0,82.1708,C,7,34
1,1,female,28.0,0,0,30.5,S,5,32
0,3,male,,0,0,7.75,Q,5,24
0,3,male,17.0,0,0,8.6625,S,6,27
0,3,female,33.0,0,0,9.5,S,5,26
0,2,male,16.0,0,0,10.5,S,6,28
0,3,male,,0,0,7.3125,S,7,23
0,3,male,47.0,0,0,9.0,S,5,25
0,3,male,50.0,0,0,9.0,S,5,26
0,2,male,30.0,0,0,10.5,S,6,28
0,3,male,24.0,0,0,7.1417,S,7,25
0,3,male,41.0,2,0,14.1083,S,7,28
0,3,female,,1,0,15.9,S,6,29
1,2,female,21.0,0,0,21.0,S,6,27
0,3,male,48.0,0,0,22.525,S,8,26
1,1,female,44.0,0,0,42.4,C,6,38
0,3,female,21.0,0,0,7.75,Q,5,24
0,3,male,50.0,1,0,14.4542,C,7,27
0,3,male,,0,0,7.65,S,6,24
0,3,male,17.0,1,0,7.925,S,6,25
0,2,male,21.0,0,0,11.5,S,6,27
0,3,male,29.0,1,0,14.4583,C,7,28
0,3,male,28.0,1,0,7.8542,S,8,27
0,3,male,26.0,0,0,9.225,S,6,25
0,3,male,20.0,0,0,8.0,S,5,25
0,3,male,30.0,0,0,9.5,S,5,26
0,3,male,22.0,0,0,7.7958,S,6,25
1,1,female,41.0,0,0,29.7,C,6,37
0,3,male,43.0,1,0,26.25,S,7,27
0,3,male,,0,0,7.8542,S,8,24
0,3,male,26.0,0,0,7.925,S,6,25
1,3,female,28.0,1,0,14.4,S,5,28
0,3,male,30.0,0,0,9.35,S,5,26
0,3,male,11.0,5,2,46.9,S,6,30
1,1,female,26.0,0,2,78.85,S,6,38
0,3,male,22.0,0,0,7.2292,C,7,25
0,3,male,37.0,0,0,9.35,S,5,26
0,3,male,29.0,0,0,7.925,S,6,27
1,1,female,43.0,0,0,211.3375,S,8,40
0,3,male,44.0,0,0,7.925,S,6,26
1,3,female,28.0,1,4,29.125,Q,6,30
0,3,male,7.0,4,1,39.6875,S,6,28
0,3,male,21.0,0,0,7.65,S,6,25
0,3,male,,0,0,15.5,Q,5,24
1,1,female,46.0,0,0,79.2,C,5,36
0,3,male,17.0,0,0,7.8542,S,8,25
0,3,male,33.0,0,0,7.8958,S,6,26
0,3,male,16.0,0,0,9.225,S,6,25
0,3,male,22.0,0,0,7.7417,Q,7,25
0,3,male,28.0,0,0,9.35,S,5,26
0,3,male,,0,0,7.225,C,7,24
0,3,female,60.0,1,1,39.0,S,6,32
0,3,male,,0,0,7.75,Q,5,23
1,1,male,36.0,0,0,0.0,S,4,30
1,3,female,,0,0,7.4958,S,7,25
0,3,male,,0,0,15.5,Q,5,23
1,1,female,24.0,0,0,83.1583,C,7,38
0,3,female,19.0,0,0,7.7333,Q,6,27
1,1,female,29.0,0,0,211.3375,S,8,40
0,3,male,37.0,1,0,15.85,S,7,28
0,1,male,18.0,1,0,108.9,C,6,34
0,3,male,,0,0,7.75,Q,5,23
1,1,female,23.0,0,0,82.2667,S,6,36
0,3,male,,0,0,7.75,Q,5,23
0,3,male,28.0,0,0,8.05,S,6,26
0,3,female,41.0,0,1,14.1083,S,7,31
1,1,female,19.0,0,0,30.0,S,5,34
0,2,male,,0,0,15.1,S,6,27
0,3,male,,0,0,7.925,S,6,24
0,3,male,,0,0,7.75,Q,5,23
0,3,male,,0,0,8.0,S,5,23
0,3,male,49.0,0,0,8.05,S,6,26
0,3,male,,0,0,7.6292,Q,8,24
0,3,female,24.0,0,0,9.5,S,5,27
0,2,male,44.0,1,0,26.0,S,6,30
0,3,male,,0,0,7.7417,Q,7,24
0,3,male,40.0,0,0,7.925,S,6,26
1,1,female,26.0,0,1,78.85,S,6,37
0,2,male,,0,0,10.5,S,6,26
0,3,male,42.0,0,0,8.4042,S,6,27
0,3,male,27.0,0,0,8.6625,S,6,26
1,1,female,,1,0,90.0,Q,5,34
0,3,male,31.0,0,0,8.05,S,6,26
0,3,male,,0,0,7.2292,C,7,24
1,3,female,,0,0,12.475,S,7,26
1,3,female,4.0,0,2,13.775,S,6,28
0,3,male,26.0,0,0,8.05,S,6,26
0,3,male,47.0,0,0,9.0,S,5,26
0,3,male,,0,0,7.75,Q,5,23
1,1,female,45.0,1,1,164.8667,S,6,38
0,2,male,34.0,0,0,13.0,S,6,27
0,3,male,30.0,0,0,8.6625,S,6,26
0,3,male,38.0,0,0,7.925,S,6,26
1,1,female,22.0,0,0,151.55,S,6,37
0,3,male,44.0,0,0,7.925,S,6,26
1,2,female,,0,0,13.0,S,6,27
0,3,male,,0,0,7.7333,Q,6,23
1,3,female,26.0,1,0,14.4542,C,7,28
0,3,male,17.0,1,0,16.1,S,6,26
0,2,male,21.0,0,0,13.0,S,6,27
0,3,male,,0,0,8.6625,S,6,24
0,3,male,48.0,1,0,15.85,S,7,27
1,3,female,,0,0,8.05,S,5,26
0,3,male,25.0,0,0,7.925,S,6,26
0,3,male,,0,0,0.0,S,4,24
0,3,male,23.0,0,0,8.05,S,6,26
1,3,female,22.0,1,0,15.0458,C,7,29
0,3,female,28.0,0,1,12.2875,S,7,30
0,3,male,,0,0,9.5,S,5,24
0,1,male,25.0,0,0,26.0,S,5,30
0,3,male,36.0,0,0,9.2167,S,6,26
0,3,male,,0,0,7.225,C,7,23
1,2,female,24.0,1,2,65.0,S,6,31
0,3,male,40.0,0,0,7.8958,C,6,26
1,3,female,31.0,0,2,24.15,S,6,30
0,2,male,,0,0,13.0,S,6,26
0,3,male,30.0,0,0,7.8958,S,6,26
1,1,female,22.0,0,0,55.0,S,5,36
0,3,male,27.0,0,0,8.6625,S,6,26
0,3,male,,0,0,7.7958,S,6,23
0,3,male,47.0,0,0,7.75,Q,5,25
0,3,male,,0,0,6.75,Q,5,23
1,1,female,50.0,0,0,28.7125,C,7,36
0,3,male,,0,0,7.7958,S,6,23
0,3,male,40.0,0,0,9.35,S,5,26
0,3,male,25.0,0,0,8.6625,S,6,25
0,3,male,26.0,0,0,7.8542,S,8,25
0,3,male,43.0,0,0,8.05,S,6,26
0,3,male,,0,0,7.925,S,6,23
0,2,male,29.0,0,0,10.5,S,6,27
0,3,male,,0,0,7.75,Q,5,23
1,3,female,13.0,0,0,9.2167,S,6,27
0,3,male,,0,0,7.8958,C,6,24
0,3,male,25.0,0,0,7.925,S,6,25
0,3,male,,0,0,7.75,Q,5,23
1,3,female,29.0,1,0,14.4542,C,7,29
0,3,male,25.0,0,0,7.8958,S,6,25
0,1,male,25.0,0,0,0.0,S,4,30
0,3,male,,0,0,7.225,C,7,23
0,3,male,,0,0,7.2292,C,7,23
0,3,male,0.92,1,2,151.55,S,6,27
1,1,female,19.0,0,0,263.0,S,8,37
0,3,male,,0,0,7.2292,C,7,23
0,3,female,24.0,2,0,18.75,S,6,29
0,3,male,,0,0,7.65,S,6,23
0,2,male,28.0,0,0,13.5,S,6,27
1,3,female,26.0,0,0,7.3125,S,7,26
0,3,female,17.0,0,0,7.925,S,6,27
1,1,female,42.0,0,0,26.55,S,5,36
0,3,male,35.0,0,0,7.125,S,5,25
0,3,male,,0,0,7.225,C,7,23
0,3,male,,0,0,7.925,S,6,23
0,3,male,31.0,0,0,7.25,S,5,25
1,1,female,26.0,1,0,57.9958,S,8,36
1,3,female,,0,0,7.75,Q,5,24
0,3,male,27.0,0,0,7.8958,S,6,25
0,1,male,30.0,0,0,27.75,S,5,30
1,1,female,24.0,0,0,211.3375,S,8,38
0,3,male,18.0,0,0,7.2292,C,7,25
0,3,male,26.0,1,0,7.925,S,6,26
0,3,male,28.0,0,0,56.4958,S,8,27
0,2,male,43.0,0,1,26.25,S,6,29
0,3,male,26.0,0,0,7.8542,S,8,25
0,3,male,24.0,0,0,7.925,S,6,25
0,3,male,54.0,0,0,7.75,Q,5,25
0,3,male,31.0,0,0,7.925,S,6,26
1,1,female,40.0,1,1,134.5,C,6,38
0,3,male,22.0,0,0,7.25,S,5,25
0,3,female,27.0,1,0,7.925,S,6,28
0,1,male,30.0,0,0,30.0,S,5,30
0,3,male,22.0,0,0,7.75,Q,5,25
0,2,male,35.0,0,0,26.0,S,6,27
0,3,male,30.0,0,0,16.1,S,6,26
0,3,male,,0,0,8.05,S,6,23
0,3,male,33.0,0,0,8.6625,S,6,26
0,3,male,23.0,0,0,8.3625,S,7,25
0,3,male,22.0,0,0,7.7917,Q,7,25
0,3,male,29.0,1,0,14.4583,C,7,27
0,3,male,28.0,0,0,8.05,S,6,26
0,3,male,25.0,0,0,7.25,S,5,25
0,3,male,25.0,0,0,7.05,S,5,25
0,3,male,18.0,1,0,20.2125,C,7,26
0,3,male,,0,0,7.25,S,5,23
0,3,male,,0,0,7.75,Q,5,23
0,3,male,,0,0,7.8958,S,6,23
0,3,male,,0,0,7.75,Q,5,23
0,3,male,39.0,0,0,24.15,S,6,26
0,3,female,23.0,1,0,12.475,S,7,29
1,3,female,,0,0,7.75,Q,5,24
0,3,male,,0,0,7.2292,C,7,23
0,3,male,28.0,0,0,8.6625,S,6,26
0,3,male,21.0,0,0,8.05,S,6,25
0,1,male,33.0,0,0,5.0,S,5,30
1,2,female,18.0,1,0,21.0,S,6,29
0,3,male,,0,0,7.25,S,5,23
1,1,female,30.0,0,0,93.5,S,5,36
0,3,male,26.0,0,0,7.225,C,7,25
0,3,male,,0,0,7.75,Q,5,23
1,3,female,29.0,1,1,15.2458,C,7,30
0,3,male,22.0,0,0,7.3125,S,7,25
0,3,male,31.0,0,0,7.8542,S,8,26
0,3,male,30.0,0,0,8.05,S,6,26
0,3,male,,0,0,7.225,C,7,23
0,3,male,19.0,0,0,8.05,S,6,25
0,3,male,,0,0,7.8958,S,6,23
0,3,male,,0,0,7.8958,S,6,23
0,3,male,27.0,0,0,7.8958,S,6,25
0,3,male,17.0,0,0,8.6625,S,6,25
0,3,male,,0,0,7.8542,S,8,23
0,3,male,21.0,0,0,9.35,S,5,25
0,3,male,,0,0,7.8958,S,6,23
0,3,male,25.0,0,0,7.225,C,7,25
1,3,female,28.0,1,0,16.1,S,5,29
0,3,male,,0,0,7.25,S,5,23
0,3,male,27.0,0,0,14.4583,C,7,25
0,3,male,,0,0,7.925,S,6,23
0,3,male,25.0,0,0,7.925,S,6,25
0,3,male,19.0,0,0,8.05,S,6,25
0,3,male,,0,0,7.8958,S,6,23
0,3,male,20.0,0,0,8.05,S,6,25
0,2,male,35.0,0,0,10.5,S,6,27
0,3,male,,0,0,7.55,S,5,23
1,3,female,24.0,2,0,11.5,S,6,29
1,3,female,20.0,0,0,9.8458,S,7,27
0,3,male,24.0,0,0,8.05,S,6,25
1,1,female,20.0,1,0,77.9583,S,6,36
0,3,male,38.0,1,0,7.925,S,6,26
1,3,female,21.0,0,0,8.0,S,5,27
0,3,male,,0,0,0.0,S,4,23
0,3,male,28.0,1,0,15.85,S,7,27
0,3,male,28.0,0,0,8.6625,S,6,26
1,3,female,22.0,0,0,9.8375,S,7,28
0,3,male,,0,0,8.05,S,6,23
0,3,male,32.0,0,0,8.3625,S,7,26
0,3,male,25.0,0,0,7.225,C,7,25
0,3,male,,0,0,7.4958,S,7,23
0,3,male,38.0,0,0,14.5,S,5,26
0,3,male,37.0,0,0,9.5875,S,7,26
0,1,male,38.0,0,0,0.0,S,4,30
0,3,male,,0,0,8.05,S,6,23
0,3,male,,0,0,7.3125,S,7,23
0,3,male,20.0,0,0,7.8542,S,8,25
0,3,male,34.0,1,0,14.4542,C,7,27
0,3,male,,0,0,7.225,C,7,23
0,3,male,28.0,1,0,14.4,S,5,27
0,3,male,,0,0,7.6292,Q,8,23
0,3,male,21.0,0,0,7.925,S,6,25
0,3,male,,0,0,8.6625,S,6,23
1,3,female,24.0,1,0,24.0,S,5,29
0,3,male,60.0,0,0,7.25,S,5,25
0,3,male,,0,0,7.225,C,7,23
0,1,male,24.0,0,1,247.5208,C,8,30
0,3,female,17.0,0,0,7.25,S,5,27
0,3,male,,0,0,7.225,C,7,23
0,3,male,48.0,0,0,7.8958,S,6,26
0,3,male,,0,0,7.25,S,5,23
0,3,male,22.0,0,0,7.25,S,5,25
0,3,male,20.0,0,0,7.925,S,6,25
0,2,male,48.0,1,0,39.0,S,6,29
1,3,female,19.0,0,0,7.8792,Q,8,27
0,3,male,56.0,0,0,7.8958,S,6,25
0,3,male,,0,0,7.65,S,6,23
0,3,male,,0,0,7.8958,S,6,23
0,3,male,37.0,0,0,9.5875,S,7,26
0,3,male,23.0,0,0,7.925,S,6,25
0,3,male,16.0,0,0,9.2167,S,6,25
0,3,male,,0,0,7.25,S,5,23
0,3,male,,0,0,7.8792,Q,8,23
0,3,male,25.0,0,0,7.8958,S,6,25
0,3,male,25.0,0,0,7.8958,S,6,25
0,3,male,30.0,0,0,8.4333,S,6,26
0,3,male,,0,0,7.75,Q,5,23
0,3,male,33.0,0,0,8.6625,S,6,26
0,3,male,23.0,0,0,7.8542,S,8,25
0,3,male,21.0,0,0,8.6625,S,6,25
0,3,male,17.0,0,0,8.6625,S,6,25
0,3,male,22.0,0,0,7.8542,S,8,25
0,3,male,,0,0,7.8958,S,6,23
0,3,male,30.0,0,0,7.8958,S,6,26
0,3,male,20.0,0,0,7.05,S,5,25
0,3,male,22.0,0,0,7.8958,S,6,25
0,3,male,22.0,0,0,7.7417,Q,7,25
0,3,male,,0,0,7.75,Q,5,23
0,3,male,,0,0,8.6625,S,6,23
0,3,male,32.0,0,0,7.925,S,6,26
1,3,female,,0,0,7.225,C,7,24
0,3,male,34.0,0,0,7.925,S,6,26
0,3,male,28.0,0,0,8.6625,S,6,26
0,3,male,27.0,0,0,7.7958,S,6,25
0,3,male,20.0,0,0,8.6625,S,6,25
0,3,male,21.0,0,0,7.8958,S,6,25
0,3,male,15.0,0,0,7.2292,C,7,25
0,3,male,21.0,0,0,7.775,S,6,25
1,3,female,,1,0,7.8542,S,8,27
0,3,male,28.0,0,0,9.35,S,5,26
0,3,male,,0,0,7.225,C,7,23
0,3,male,18.0,0,0,8.3,S,5,25
0,3,male,22.0,0,0,7.225,C,7,25
0,3,male,28.0,1,0,15.55,S,6,27
0,3,male,28.0,0,0,8.6625,S,6,26
0,3,male,22.0,0,0,7.75,Q,5,25
1,3,female,18.0,0,0,7.7292,Q,7,27
0,3,male,,0,0,7.75,Q,5,23
0,3,male,30.0,0,0,13.0,S,5,26
0,2,male,48.0,1,0,37.0042,C,7,29
1,3,female,,0,0,7.75,Q,5,24
1,1,female,35.0,1,1,120.0,S,6,37
0,3,male,24.0,0,0,7.925,S,6,25
0,3,male,27.0,0,0,7.925,S,6,25
1,3,female,28.0,0,0,14.4,S,5,28
0,3,male,21.0,0,0,7.8542,S,8,25
0,2,male,17.0,0,0,10.5,S,6,26
0,3,male,37.0,2,0,7.925,S,6,27
1,1,female,28.0,0,0,247.5208,C,8,38
0,3,male,,0,0,7.75,Q,5,23
1,3,female,29.0,0,0,7.2292,C,7,28
0,3,male,33.0,0,0,9.5,S,5,26
0,3,male,31.0,0,0,14.4583,C,7,26
0,3,male,28.0,0,0,9.3,S,5,26
0,3,male,36.0,0,0,9.35,S,5,26
0,3,male,,0,0,7.75,Q,5,23
0,3,male,29.0,0,0,10.1708,S,7,26
0,2,male,28.0,0,0,13.0,S,6,27
0,3,male,27.0,0,0,7.7917,Q,7,25
0,3,male,17.0,0,0,8.6625,S,6,25
0,3,male,20.0,0,0,8.6625,S,6,25
0,3,male,22.0,0,0,8.6625,S,6,25
0,3,male,21.0,0,0,7.75,Q,5,25
1,3,female,23.0,1,0,9.225,S,6,29
1,3,female,26.0,0,0,9.6875,Q,7,27
0,3,male,27.0,0,0,8.6625,S,6,25
0,3,male,30.0,0,0,8.6625,S,6,26
0,3,male,22.0,0,0,7.2292,C,7,25
0,3,male,30.0,0,0,7.225,C,7,26
0,3,male,24.0,1,0,7.8958,S,6,26
0,3,male,28.0,0,0,8.6625,S,6,26